Date,Miles,Week Helper,Week (Monday),Month,Year
8/2/2021,1.89,8/2/2021 4:35:18,8/2/2021,Aug,2021
8/4/2021,1.66,8/2/2021 5:37:33,8/2/2021,Aug,2021
8/7/2021,2.01,8/2/2021 11:32:31,8/2/2021,Aug,2021
8/10/2021,1.52,8/9/2021 5:14:12,8/9/2021,Aug,2021
8/12/2021,1.56,8/9/2021 5:35:46,8/9/2021,Aug,2021
8/16/2021,2.11,8/16/2021 11:31:26,8/16/2021,Aug,2021
8/18/2021,1.41,8/16/2021 11:27:41,8/16/2021,Aug,2021
8/21/2021,2.05,8/16/2021 5:24:54,8/16/2021,Aug,2021
8/24/2021,1.45,8/23/2021 6:06:18,8/23/2021,Aug,2021
8/27/2021,1.47,8/23/2021 13:24:11,8/23/2021,Aug,2021
8/30/2021,1.39,8/30/2021 13:38:13,8/30/2021,Aug,2021
9/3/2021,1.78,8/30/2021 6:00:24,8/30/2021,Sep,2021
9/7/2021,1.38,9/6/2021 5:34:34,9/6/2021,Sep,2021
9/8/2021,1.37,9/6/2021 10:07:51,9/6/2021,Sep,2021
9/12/2021,1.39,9/6/2021 5:38:36,9/6/2021,Sep,2021
9/13/2021,1.38,9/13/2021 13:14:07,9/13/2021,Sep,2021
9/14/2021,1.72,9/13/2021 6:23:14,9/13/2021,Sep,2021
9/15/2021,1.71,9/13/2021 6:23:51,9/13/2021,Sep,2021
9/16/2021,1.26,9/13/2021 6:02:57,9/13/2021,Sep,2021
9/17/2021,1.21,9/13/2021 6:07:22,9/13/2021,Sep,2021
9/21/2021,1.44,9/20/2021 13:15:01,9/20/2021,Sep,2021
9/22/2021,1.54,9/20/2021 6:09:12,9/20/2021,Sep,2021
9/23/2021,1.48,9/20/2021 12:55:29,9/20/2021,Sep,2021
10/2/2021,2.03,9/27/2021 13:21:16,9/27/2021,Oct,2021
10/3/2021,1.45,9/27/2021 13:22:17,9/27/2021,Oct,2021
10/5/2021,1.36,10/4/2021 13:20:34,10/4/2021,Oct,2021
10/8/2021,1.74,10/4/2021 5:34:09,10/4/2021,Oct,2021
